52015012810093969ERCE                       181250735H000002D01PWYZAGMQC00
52015012810093969ERCE                       262976888M      M01PZTVAGMQD00
52015012810093969ERCE                       262670149M      M01P4PPAGMFY00
52015012810093969ERCE                       263327134M      D01PTTVAGMSG01
52015012810093969ERCE                       263327132W000002D01PVAAAGMSH01
52015012810093969ERCE                       260792300M      M01PWPPAGMR900
52015012810093969ERCE                       261652766S000003M01PYPPAGMSC00
52015012810093969ERCE                       263213067M      M02P5JKAGMH100
52015012810093969ERCE                       181250742S000005D01E734AFL5700
52015012810093969ERCE                       263213067M      M01PBYZAHWGN00
52015012810093969ERCE                       260482161M      D02PJFFAHWGL00
52015012810093969ERCE                       260482161M      D01PKJKAHWGT00
52015012810093969ERCE                       261776118M      M03PHFFAHWJ800
52015012810093969ERCE                       261776118M      M06PHFFAHWJ800
52015012810093969ERCE                       261776118M      M01PHYZAHWKD00
52015012810093969ERCE                       261776118M      M04PHYZAHWKD00
52015012810093969ERCE                       181250737M      D03PJPPAHWKB00
52015012810093969ERCE                       263344852M      D01PLYZAHWJ200
52015012810093969ERCE                       261652766M      M01PMJKAHWJ300
52015012810093969ERCE                       263212638M      M03PMJKAHWJ400
52015012810093969ERCE                       263212638M      M06PMJKAHWJ400
52015012810093969ERCE                       263212638M      M09PMJKAHWJ400
52015012810093969ERCE                       263212638M      M12PMJKAHWJ400
52015012810093969ERCE                       261776118M      M02PNYZAGMWH00
52015012810093969ERCE                       261776118M      M05PNYZAGMWH00
52015012810093969ERCE                       261776118M      M08PNYZAGMWH00
52015012810093969ERCE                       263327033M      D02PNYZAGMWJ00
52015012810093969ERCE                       263327029M      D01PPFFAGMWD00
52015012810093969ERCE                       263328819M      D01PQJKAGMV500
52015012810093969ERCE                       263212640M      M01PRFFAGMVY00
52015012810093969ERCE                       263212640M      M04PRFFAGMVY00
52015012810093969ERCE                       263212640M      M07PRFFAGMVY00
52015012810093969ERCE                       263212640M      M10PRFFAGMVY00
52015012810093969ERCE                       263212640M      M13PRFFAGMVY00
52015012810093969ERCE                       261776118M      M01PTAAAGMWB01
52015012810093969ERCE                       263212636M      M02PTJKAGMVX00
52015012810093969ERCE                       263212636M      M05PTJKAGMVX00
52015012810093969ERCE                       263212636M      M08PTJKAGMVX00
52015012810093969ERCE                       263212636M      M11PTJKAGMVX00
52015012810093969ERCE                       263189842M      M01PTJKAGMVZ00
52015012810093969ERCE                       263189842M      M04PTJKAGMVZ00
52015012810093969ERCE                       260538766M      M01PMJKAHV9600
52015012810093969ERCE                       260538766M      M04PMJKAHV9600
52015012810093969ERCE                       181250731H000002D03PSPPAGMMW00
52015012810093969ERCE                       261938956M      M01PTAAAGMM500
52015012810093969ERCE                       261938956M      M04PTAAAGMM500
52015012810093969ERCE                       260553556M      M01PWPPAGMMT00
52015012810093969ERCE                       181250751M      D02PYPPAGMMV00
52015012810093969ERCE                       261652766M      M01P0PPAGMCV00
52015012810093969ERCE                       260553563M      M01P2PPAGL9600
52015012810093969ERCE                       262974357M      M01P2PPAGMCR00
52015012810093969ERCE                       181250735W000002D01EFYZAGQWC00
52015012810093969ERCE                       181250735W000002D02EK34AGQV800
52015012810093969ERCE                       181250735W000002D01E5AAAFNDZ00
52015012810093969ERCE                       181250735W000002D01PAJKAHWD800
52015012810093969ERCE                       263212639M      M02PHYZAHWDM00
52015012810093969ERCE                       263212639M      M05PHYZAHWDM00
52015012810093969ERCE                       263212639M      M08PHYZAHWDM00
52015012810093969ERCE                       263212639M      M11PHYZAHWDM00
52015012810093969ERCE                       263212639M      M14PHYZAHWDM00
52015012810093969ERCE                       263212639M      M17PHYZAHWDM00
52015012810093969ERCE                       261594113M      D02PK34AHWDF00
52015012810093969ERCE                       181250731H000002D01PPFFAGMQD00
52015012810093969ERCE                       262634496D000002M03PR56AGMQC00
52015012810093969ERCE                       261093708D000004M02PV34AGMQH00
52015012810093969ERCE                       261780874M      M02PXAAAGMP800
52015012810093969ERCE                       262976888M      M03PZTVAGMQD00
52015012810093969ERCE                       261652766S000003M01PV34AGMSP00
52015012810093969ERCE                       262075907M      M01P2FFAGMH500
52015012810093969ERCE                       263213067M      M01P5JKAGMH100
52015012810093969ERCE                       181250755W000002D01EGJKAGQYY00
52015012810093969ERCE                       262976893M      M02E7JKAFL6M00
52015012810093969ERCE                       260482161M      D01PJFFAHWGL00
52015012810093969ERCE                       260482161M      D01PKJKAHWGS00
52015012810093969ERCE                       263327131D000003D02PSPPAGMSG00
52015012810093969ERCE                       181250736D000003D01E2YZAFNHR00
52015012810093969ERCE                       261776118M      M02PHFFAHWJ800
52015012810093969ERCE                       261776118M      M05PHFFAHWJ800
52015012810093969ERCE                       261776118M      M03PHYZAHWKD00
52015012810093969ERCE                       261776118M      M06PHYZAHWKD00
52015012810093969ERCE                       181250737M      D02PJPPAHWKB00
52015012810093969ERCE                       263327029M      D01PK34AHWJT00
52015012810093969ERCE                       263212638M      M02PMJKAHWJ400
52015012810093969ERCE                       263212638M      M05PMJKAHWJ400
52015012810093969ERCE                       263212638M      M08PMJKAHWJ400
52015012810093969ERCE                       263212638M      M11PMJKAHWJ400
52015012810093969ERCE                       261776118M      M01PNYZAGMWH00
52015012810093969ERCE                       261776118M      M04PNYZAGMWH00
52015012810093969ERCE                       261776118M      M07PNYZAGMWH00
52015012810093969ERCE                       263327033M      D01PNYZAGMWJ00
52015012810093969ERCE                       263327029M      D01PPFFAGMWD01
52015012810093969ERCE                       181250740S000003D01PQAAAGMSV00
52015012810093969ERCE                       181250740S000003D01PQJKAGMWF00
52015012810093969ERCE                       263187683M      M02PQ34AGMWG00
52015012810093969ERCE                       263212640M      M03PRFFAGMVY00
52015012810093969ERCE                       263212640M      M06PRFFAGMVY00
52015012810093969ERCE                       263212640M      M09PRFFAGMVY00
52015012810093969ERCE                       263212640M      M12PRFFAGMVY00
